,Race_Name,Race_Id,Track_Name,Race_Date_Plain,Current_Winner_Name,Playoff_Round,Actual_Laps,Track_Id,RaceID_Text,Exhibition
21,Enjoy Illinois 300 presented by TicketSmarter,5288,World Wide Technology Raceway,2023-06-04,Kyle Busch,,243,45,World Wide Technology Raceway - Enjoy Illinois 300 presented by TicketSmarter,No
22,Coca-Cola 600,5287,Charlotte Motor Speedway,2023-05-29,Ryan Blaney,,400,162,Charlotte Motor Speedway - Coca-Cola 600,No
23,NASCAR All-Star Race,5286,North Wilkesboro Speedway,2023-05-21,Kyle Larson,,200,177,North Wilkesboro Speedway - NASCAR All-Star Race,Yes
24,NASCAR All-Star Open,5285,North Wilkesboro Speedway,2023-05-21,Josh Berry,,100,177,North Wilkesboro Speedway - NASCAR All-Star Open,Yes
25,Goodyear 400,5283,Darlington Raceway,2023-05-14,William Byron,,295,4,Darlington Raceway - Goodyear 400,No
26,AdventHealth 400,5284,Kansas Speedway,2023-05-07,Denny Hamlin,,267,41,Kansas Speedway - AdventHealth 400,No
27,Würth 400,5282,Dover Motor Speedway,2023-05-01,Martin Truex Jr.,,400,103,Dover Motor Speedway - Würth 400,No
28,GEICO 500,5281,Talladega Superspeedway,2023-04-23,Kyle Busch,,196,82,Talladega Superspeedway - GEICO 500,No
29,NOCO 400,5275,Martinsville Speedway,2023-04-16,Kyle Larson,,400,22,Martinsville Speedway - NOCO 400,No
30,Food City Dirt Race,5280,Bristol Motor Speedway,2023-04-09,Christopher Bell,,250,14,Bristol Motor Speedway - Food City Dirt Race,No
31,Toyota Owners 400,5274,Richmond Raceway,2023-04-02,Kyle Larson,,400,26,Richmond Raceway - Toyota Owners 400,No
32,EchoPark Automotive Grand Prix,5273,Circuit of The Americas,2023-03-26,Tyler Reddick,,75,214,Circuit of The Americas - EchoPark Automotive Grand Prix,No
33,Ambetter Health 400,5272,Atlanta Motor Speedway,2023-03-19,Joey Logano,,260,111,Atlanta Motor Speedway - Ambetter Health 400,No
34,United Rentals Work United 500,5271,Phoenix Raceway,2023-03-12,William Byron,,317,84,Phoenix Raceway - United Rentals Work United 500,No
35,Pennzoil 400 presented by Jiffy Lube,5270,Las Vegas Motor Speedway,2023-03-05,William Byron,,271,42,Las Vegas Motor Speedway - Pennzoil 400 presented by Jiffy Lube,No
36,Pala Casino 400,5269,Auto Club Speedway,2023-02-26,Kyle Busch,,200,38,Auto Club Speedway - Pala Casino 400,No
37,DAYTONA 500,5268,Daytona International Speedway,2023-02-19,Ricky Stenhouse Jr.,,212,105,Daytona International Speedway - DAYTONA 500,No
38,Bluegreen Vacations Duel 2 at DAYTONA,5267,Daytona International Speedway,2023-02-16,Aric Almirola,,60,105,Daytona International Speedway - Bluegreen Vacations Duel 2 at DAYTONA,Yes
39,Bluegreen Vacations Duel 1 at DAYTONA,5266,Daytona International Speedway,2023-02-16,Joey Logano,,60,105,Daytona International Speedway - Bluegreen Vacations Duel 1 at DAYTONA,Yes
40,Busch Light Clash at The Coliseum,5259,Los Angeles Memorial Coliseum,2023-02-05,Martin Truex Jr.,,150,217,Los Angeles Memorial Coliseum - Busch Light Clash at The Coliseum,Yes
